FECHA,Real,Naive estacional,SARIMA,Prophet,XGBoost,Random Forest,LSTM,Ensemble
2024-01-01,855.1428571428571,770.0,723.0776083861062,798.1256654227017,684.4337,711.6469947691199,689.8811,721.3827980328945
2024-02-01,757.8571428571429,712.0,605.8222117951084,620.9071944564869,693.9032,726.8250638944389,688.4452,675.7891572704615
2024-03-01,755.7142857142857,735.0,626.8212775285581,635.8891092985712,718.3348,695.851648088023,687.2092,679.2024642831884
2024-04-01,743.8571428571429,671.0,616.6719610726985,703.4132135694169,736.56744,725.6165957722835,686.1453,704.703944028377
2024-05-01,737.1428571428571,706.0,601.9166346548013,694.6366442744047,727.9016,721.4485896464648,685.2186,697.8491898090159
2024-06-01,727.8571428571429,676.0,604.4292968581634,667.5983772572641,680.999,710.9470707972584,684.40094,677.9680352244505
2024-07-01,743.7142857142857,662.0,617.7061536212644,727.8740379164494,697.4412,713.3181819083696,683.66266,697.0785311092209
2024-08-01,760.1428571428571,780.0,639.701447262348,708.2078267758923,720.343,702.187928932179,683.00543,697.7933860130211
2024-09-01,756.5714285714286,688.0,621.1852979465523,719.662596229643,744.09283,701.6686031746032,682.4235,703.8407724832239
2024-10-01,765.4285714285714,669.0,630.1575826246163,735.8278910231339,758.5316,720.018753968254,681.91174,716.4469323090669
2024-11-01,748.1428571428571,658.0,619.863273663707,746.8213686279572,763.9236,722.894322420635,681.44714,719.6989498880765
2024-12-01,774.4285714285714,703.0,644.784502960358,726.240618657468,774.5124,733.039623015873,681.0384,722.9877548110113
