Model,RMSE,MAE,MAPE
Random Forest,56.05961714930796,45.04471863437478,5.776735884101893
XGBoost,58.55247965141809,38.06205458868117,4.845619086029749
Ensemble,65.0282896872548,59.271507061499285,7.694151984968446
Prophet,65.15902210547459,53.39962137421755,7.015272920513486
Naive estacional,66.4882732231066,61.3095238095238,8.035478518614331
LSTM,81.61751602582885,75.93422444661458,9.852536459523318
SARIMA,131.38396528400804,131.15522930214317,17.26691237853949
